ID,Nanodrop
AGP07487,558.5
AGP07488,460.5
AGP20001,279
AGP20002,318.5
AGP20003,48.5
AGP20004,341.5
AGP20005,232.5
AGP20006,198.5
AGP20007,306.5
AGP20008,155
AGP20009,143
AGP20010,226
AGP20011,314
AGP20012,358
AGP20013,287
AGP20014,482.5
AGP20015,279.5
AGP20016,204
AGP20017,107.5
AGP20018,395
AGP20019,380.5
AGP20020,395
AGP20021,200
AGP20022,340.5
AGP20024,212.5
AGP20025,360
AGP20026,292
AGP20027,78.5
AGP20028,62.5
AGP20029,487.5
AGP20030,183.5
AGP20031,200
AGP20032,143.5
AGP20033,405
AGP20034,488.5
AGP20035,87
AGP20036,77.5
AGP20038,157.5
AGP20039,393.5
AGP20040,124
AGP20041,262
AGP20042,207
AGP20043,565.5
AGP20044,334.5
AGP20045,622.5
AGP20046,280
AGP20047,516
AGP20048,421.5
AGP20049,325.5
AGP20050,299.5
AGP20051,406
AGP20052,473
AGP20053,495
AGP20054,278.5
AGP20055,92.5
AGP20056,606
AGP20057,356.5
AGP20058,506
AGP20059,341.5
AGP20060,394
AGP20061,206
AGP20062,492
AGP20063,463.5
AGP20064,437.5
AGP20065,286.5
AGP20066,435.5
AGP20067,168.5
AGP20068,225.5
AGP20069,252.5
AGP20070,485.5
AGP20071,628
AGP20072,295
AGP20073,704
AGP20074,564
AGP20075,531.5
AGP20076,352
AGP20077,283
AGP20078,542.5
AGP20079,538
AGP20080,474
AGP20081,196.5
AGP20082,119.5
AGP20083,325.5
AGP20084,378
AGP20085,365.5
AGP20086,62
AGP20087,242.5
AGP20088,250.5
AGP20089,436
AGP20090,629.5
AGP20091,154.5
AGP20092,364.5
AGP20093,389.5
AGP20094,624
AGP20095,401.5
AGP20096,220
AGP20097,57
AGP20098,178.5
AGP20099,112.5
AGP20100,439.5
AGP20101,206
AGP20102,244
AGP20103,108
AGP20104,237.5
AGP20105,763.5
AGP20106,400
AGP20107,189.5
AGP20108,366
AGP20109,409.5
AGP20110,475.5
AGP20111,237
AGP20112,153
AGP20113,70.5
AGP20114,249
AGP20115,379.5
AGP20116,465
AGP20117,453.5
AGP20118,352.5
AGP20119,395.5
AGP20120,315
AGP20121,488.5
AGP20122,442
AGP20123,447
AGP20124,48
AGP20125,210.5
AGP20126,164
AGP20127,87
AGP20128,232
AGP20129,151
AGP20130,419
AGP20131,305
AGP20133,298.5
AGP20134,430.5
AGP20135,259.5
AGP20136,267
AGP20137,175.5
AGP20138,378.5
AGP20139,577.5
AGP20140,291.5
AGP20141,328.5
AGP20142,263.5
AGP20143,390
AGP20144,89.5
AGP20147,410
AGP20148,218.5
AGP20149,398.5
AGP20150,266
AGP20151,106.5
AGP20152,322
AGP20153,456
AGP20154,329.5
AGP20155,406
AGP20156,471.5
AGP20157,472.5
AGP20159,522
AGP20160,370.5
AGP20161,427.5
AGP20162,307.5
AGP20163,60.5
AGP20164,232.5
AGP20165,315.5
AGP20166,277.5
AGP20167,353.5
AGP20168,210.5
AGP20169,452.5
AGP20170,155.5
AGP20171,79
AGP20172,460
AGP20173,209.5
AGP20174,867
AGP20175,466
AGP20176,298
AGP20177,74.5
AGP20178,416.5
AGP20179,781.5
AGP20180,405.5
AGP20181,348
AGP20182,248
AGP20185,36.5
AGP20187,196
AGP20188,227.5
AGP20189_1,212.5
AGP20189_2,166
AGP20191,425.5
AGP20192,390
AGP20194,201
AGP20195,238
AGP20196,325
AGP20197,154.5
AGP20198,286.5
AGP20199,29.5
AGP20200,385
AGP20201,582
AGP20202,516.5
AGP20203,450
AGP20204,474
AGP20205,176.5
AGP20206,632.5
AGP20207,818
AGP20208,601.5
AGP20209,568
AGP20210,514.5
AGP20211,483.5
AGP20212,313.5
AGP20213,406
AGP20214,456.5
AGP20215,391.5
AGP20216,506.5
AGP20217,647
AGP20218,405
AGP20219,392
AGP20220,346
AGP20221,67
AGP20222,408
AGP20223,528
AGP20224,361
AGP20225,455
AGP20226,233.5
AGP20227,535.5
AGP20228,393.5
AGP20229,194.5
AGP20230,78.5
AGP20232,572.5
AGP20233,146.5
AGP20234,389.5
AGP20235,330
AGP20236,277
AGP20237,38.5
AGP20238,380.5
AGP20239,46
AGP20240,331.5
AGP20241,206
AGP20242,312
AGP20243,211.5
AGP20244,97.5
AGP20245,454.5
AGP20246,720.5
AGP20247,462
AGP20248,108.5
AGP20249,187
AGP20250,548.5
AGP20251,382.5
AGP20252,79.5
AGP20253,324
AGP20254,611.5
AGP20255,144
AGP20256,492.5
AGP20257,289.5
AGP20258,753
AGP20259,40.5
AGP20260,309
AGP20261,259.5
AGP20262,353
AGP20263,77
AGP20264,811
AGP20265,349.5
AGP20266,456
AGP20268,500.5
AGP20269,429
AGP20270,249
AGP20271,466
AGP20272,201.5
AGP20273,165.5
AGP20274,107
AGP20275,40
AGP20276,378.5
AGP20277,280
AGP20278,350.5
AGP20280,239
AGP20281,332.5
AGP20282,18
AGP20283,129.5
AGP20284,432.5
AGP20285,527
AGP20286,455.5
AGP20287,201.5
AGP16292,486
AGP16293,34
AGP16294,360
AGP16295,596
AGP16296,80
AGP16297,106
AGP16315,73
AGP16316,74
AGP16317,495